date,media_cost_1,media_cost_2,media_cost_3,media_cost_4,holidays,trend,competitor_spend,weekly,yearly,covid_index,promo_events,intercept
2020-12-13,1.2028919299427856,650.0097219133717,1402.771946779506,753.4254992608579,0.0,7733.154332945586,-107.46633428754951,6546.215846533361,3880.6166323163106,5412.27653748829,0.0,1921.4749842330652
2020-12-20,0.6279946406609139,669.4443388152642,1153.4297529896833,907.9082344321897,13520.200175339436,7741.727061230785,-212.1217857607771,6546.215846533361,6581.413945211059,5785.536988349555,26049.000970782923,1921.4749842330652
2020-12-27,0.3617224523193208,532.4743131204316,685.2783487148204,791.0167808051452,401.82807055849474,7750.299789515992,-175.75568487879417,6546.215846533361,8271.856134274232,5785.536988349555,26049.000970782923,1921.4749842330652
2021-01-03,0.16103933717911675,257.39732696614635,426.52931598665833,409.14305566052644,0.0,7758.872517801174,-111.37331525303519,6546.215846533361,7459.905858766515,5972.1672137802025,0.0,1921.4749842330652
2021-01-10,0.043152295505603976,157.6889322149561,291.3495036767315,150.45243625629516,0.0,7767.445246086367,-34.997196079861844,6546.215846533359,4774.460496938424,5909.957138636639,0.0,1921.4749842330652
2021-01-17,0.008253671384117627,105.01285454958186,197.5966830287194,208.14279378025495,-4611.965409030817,7776.017973577309,-79.43545090175813,6546.215846533361,2166.749007094884,5909.957138636639,0.0,1921.4749842330652
2021-01-24,0.0,70.60466634847694,127.78952553162696,830.9041979213362,0.0,7784.59070106836,-141.52332173107862,6546.215846533361,1004.8690128501376,5909.957138636639,0.0,1921.4749842330652
2021-01-31,0.0,38.24007259147651,70.79132074184656,1159.9764162017145,0.0,7793.163428559339,-66.05818191020732,6546.215846533361,1020.4242201680702,5909.957138636639,0.0,1921.4749842330652
2021-02-07,0.0,20.28162368385463,23.929135580235787,1098.180922491891,0.0,7801.736156050297,-186.2636124879624,6546.215846533359,916.6347503460402,5909.957138636639,0.0,1921.4749842330652
2021-02-14,0.0,6.747757761918747,2.6690927715518526,1132.3451065709728,1522.5343051554942,7810.308883541277,-202.64175464003569,6546.215846533361,-236.36579446906822,5909.957138636639,0.0,1921.4749842330652
